0,0,0,0,0,0,0,0,0,0
23,5,5,1,21,31,16,23,25,18
31,32,24,15,8,3,31,9,27,24
13,25,22,3,6,25,12,26,24,30
15,2,25,21,9,11,14,28,20,12
32,29,27,7,28,11,21,31,31,11
26,14,21,19,30,5,30,29,17,19
1,2,25,16,27,24,23,19,4,17
28,9,12,14,18,28,9,12,24,2
8,2,23,16,13,3,3,1,24,5
28,18,10,2,9,3,4,17,10,16
14,11,1,11,23,16,32,19,7,24
22,32,3,29,6,32,14,27,10,17
19,3,32,2,21,6,9,15,29,1
32,16,21,18,24,11,15,3,2,12
29,13,1,23,7,32,7,18,30,10
2,27,27,11,11,31,18,25,21,14
29,25,27,6,6,7,32,5,21,17
18,9,11,14,23,25,1,19,30,23
16,1,4,11,11,30,1,1,4,25
16,2,30,24,16,31,14,30,4,4
12,6,26,8,26,30,7,13,13,27
11,19,4,23,14,14,15,31,3,8
23,30,7,10,4,18,16,8,7,28
7,23,10,12,1,21,26,22,11,20
8,10,20,11,19,5,12,20,19,23
21,19,10,14,20,11,32,4,19,18
20,30,10,4,9,22,17,23,5,26
4,21,13,30,15,6,12,28,12,32
28,22,12,12,13,6,10,12,17,21
24,8,31,10,27,14,25,20,5,9
29,31,21,9,13,18,5,30,22,5
29,20,17,11,32,29,10,19,20,11
10,25,4,2,14,14,25,9,32,4
29,23,20,11,2,15,11,3,25,22
1,32,15,31,8,9,4,4,18,20
18,30,31,11,32,20,26,23,24,12
26,23,16,14,6,1,25,15,23,15
9,14,16,18,24,30,20,4,16,13
2,17,14,2,14,14,6,15,25,30
13,29,14,14,6,10,22,22,21,16
27,28,23,32,30,29,9,2,2,8
9,17,3,8,25,28,1,9,27,28
7,15,14,21,19,25,16,19,22,9
3,18,13,20,22,28,6,2,24,22
11,23,15,26,30,10,16,4,16,7
13,32,17,4,25,15,8,11,3,32
9,24,1,13,22,17,5,4,18,3
20,2,1,6,23,21,19,22,30,22
30,9,10,20,30,20,25,29,22,8
4,24,9,3,12,28,23,13,27,2
5,19,6,32,25,22,25,7,19,17
32,10,10,24,26,20,29,30,26,11
13,14,12,1,5,30,26,16,18,21
8,9,11,2,6,4,11,25,4,17
4,3,11,5,3,16,28,18,19,26
24,23,28,25,8,13,7,8,12,17
22,3,18,20,27,8,1,1,7,24
