0,0,0,0,0,0,0,0,0,0
202,472,505,19,481,205,225,111,49,4
334,664,300,272,49,87,174,711,497,280
176,556,275,485,153,570,233,292,302,315
397,593,125,388,630,632,24,260,105,642
693,358,133,709,136,12,243,245,528,256
54,52,436,281,330,631,699,71,614,539
402,378,587,169,76,494,32,184,36,453
539,672,358,443,504,421,628,230,261,144
462,27,467,292,401,301,635,69,214,482
354,550,646,393,106,206,275,402,478,692
571,173,614,20,109,435,717,440,145,209
640,39,505,721,656,595,74,294,485,121
600,509,34,216,20,285,174,244,620,536
4,217,433,665,148,664,310,55,161,677
187,520,681,375,109,552,619,653,226,107
704,536,123,656,615,334,634,514,51,676
442,69,674,652,574,65,267,86,617,276
316,218,252,140,204,391,173,714,424,488
199,138,529,605,19,399,621,64,223,181
68,650,311,244,116,493,583,541,493,555
272,215,121,547,684,645,54,324,710,568
324,483,389,371,107,433,9,26,540,36
70,597,724,18,531,37,685,484,227,313
430,639,365,232,603,559,576,414,465,707
528,677,272,139,635,365,190,570,347,98
180,158,562,482,373,335,708,374,503,255
66,95,43,27,121,219,368,368,34,559
643,409,225,665,340,556,508,162,292,118
509,416,502,328,305,682,597,5,415,300
131,364,489,183,155,258,641,98,384,364
329,444,445,170,590,611,662,566,162,654
164,465,182,565,212,16,240,83,497,195
199,619,179,104,206,443,664,390,237,574
6,314,386,131,120,461,416,418,502,319
15,268,41,419,258,244,304,310,433,678
654,310,460,629,675,298,209,245,244,239
667,79,636,99,662,326,103,523,344,243
241,121,590,704,464,667,719,210,195,633
539,311,515,605,135,442,350,325,172,393
589,64,309,676,695,102,277,92,524,575
72,294,324,142,287,240,134,118,563,543
253,724,9,196,547,616,69,173,449,654
43,635,85,77,342,672,201,232,533,70
27,118,20,164,585,109,257,320,287,282
619,676,108,484,703,447,359,494,24,192
50,36,546,177,292,557,136,628,45,13
33,462,503,244,636,344,87,372,333,439
66,595,49,314,106,716,177,599,186,308
145,388,19,260,143,301,210,252,306,525
42,545,474,367,34,593,439,433,421,186
